web-scraper-order,web-scraper-start-url,hotel_name,price
"1690656332-40","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","","£112"
"1690656332-41","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","","£103"
"1690656332-42","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","","£148"
"1690656332-43","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","","£93"
"1690656332-44","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","","£72"
"1690656332-45","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","","£131"
"1690656332-46","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","","£120"
"1690656332-47","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","","£124"
"1690656332-48","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","","£123"
"1690656332-49","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","","£69"
"1690656332-50","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","","£78"
"1690656332-51","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","","£107"
"1690656332-52","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","","£148"
"1690656332-53","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","","£116"
"1690656332-54","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","","£185"
"1690656332-55","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","","£113"
"1690656332-56","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","","£54"
"1690656332-57","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","","£89"
"1690656332-58","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","","£78"
"1690656332-59","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","","£138"
"1690656332-60","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","","£67"
